DataID,Match ID,Team,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist,Succ,Att,Home Or Away,Crowd,Year
114,20-1204,West Ham,0,0,0,0,7,4,1,0,599,120,13,6,9,0.4,0.4,0.4,12,0,371,497,74.6,2247,376,1048,3,9,A,Yes,20
115,20-1205,Sheffield Utd,1,1,0,0,14,4,2,0,552,172,26,9,15,1,1,0.6,18,2,307,412,74.5,2011,298,682,17,22,A,Yes,20
116,20-1206,Everton,2,2,0,0,24,5,1,0,559,126,26,5,4,2,2,1,34,3,314,424,74.1,2836,304,851,14,22,A,Yes,20
117,20-1207,Arsenal,0,0,0,0,8,1,1,0,598,200,22,4,16,0.8,0.8,0.5,13,0,411,499,82.4,2495,436,1408,9,22,A,Yes,20
118,20-1208,Aston Villa,1,0,0,0,13,4,3,0,539,116,24,9,18,0.7,0.7,0.5,17,0,319,417,76.5,2425,334,1206,15,20,A,Yes,20
119,20-1209,Brighton,1,1,0,0,5,2,5,0,626,161,27,8,21,0.9,0.9,0.9,9,1,405,511,79.3,2515,428,1111,6,12,A,Yes,20
120,20-1210,Manchester City,1,0,0,0,18,3,2,0,664,192,20,1,12,1.3,1.3,1,28,1,441,554,79.6,2960,482,1686,18,24,A,Yes,20
121,20-1301,Tottenham,3,3,0,0,15,7,2,0,607,150,20,5,18,1.6,1.6,1.3,24,6,385,484,79.5,2528,406,1005,11,21,A,Yes,20
122,20-1302,Liverpool,2,1,0,0,11,4,1,0,662,199,23,3,15,1.5,1.5,1.1,16,2,435,537,81,2837,369,1066,5,12,A,Yes,20
123,20-1303,Southampton,2,1,0,1,20,4,2,0,493,221,24,10,25,2.8,1.9,1.8,33,3,257,349,73.6,1984,278,986,9,19,A,Yes,20
124,20-1304,Wolves,2,1,0,0,17,7,1,0,665,154,13,6,15,1.4,1.4,1.3,25,4,459,532,86.3,2949,465,1290,8,13,A,Yes,20
125,20-1305,Norwich City,2,1,0,0,13,5,5,0,499,175,21,11,23,1.8,1.8,1.2,22,2,245,348,70.4,2193,263,1029,14,27,A,Yes,20
126,20-1306,Leicester City,2,1,1,1,18,8,0,0,566,172,16,12,16,3.4,2.7,2,32,3,360,438,82.2,2217,323,1342,9,11,A,Yes,20
127,20-1307,Burnley,3,0,1,1,11,4,3,0,389,132,6,5,21,2.3,1.6,0.6,17,4,163,255,63.9,1523,206,414,9,12,A,Yes,20
128,20-1308,Chelsea,1,1,0,0,11,2,1,0,770,235,24,9,23,1.1,1.1,0.9,16,2,582,660,88.2,2602,578,1516,16,21,A,Yes,20
129,20-1309,Manchester Utd,3,2,0,0,11,5,2,0,737,199,7,7,19,1.4,1.4,1.2,20,4,505,614,82.2,2885,507,1763,11,19,A,Yes,20
130,20-1310,Newcastle Utd,0,0,0,0,11,5,1,0,463,188,13,10,15,0.6,0.6,0.5,18,0,258,344,75,2295,274,1155,12,19,A,Yes,20
131,20-1401,Manchester City,2,1,0,0,24,7,2,0,916,113,12,9,4,2.6,2.6,2,37,1,705,816,86.4,3692,613,2185,7,9,A,Yes,20
132,20-1402,Bournemouth,"2	1	0	0	24	7	2	0	916	113	12	9	4	2.6	2.6	2.0	37	1	705	816	86.4	3692	613	2185	7	92",0,0,0,19,6,2,0,576,97,8,15,9,1.4,1.4,0.8,26,2,359,475,75.6,2460,393,1300,17,24,A,Yes,20
133,20-1403,Brighton,1,0,0,0,12,6,0,0,727,150,12,6,12,1,1,0.9,20,1,524,631,83,3273,487,1385,10,18,A,Yes,20
134,20-1404,Crystal Palace,2,1,0,0,7,2,0,0,630,110,13,8,20,0.8,0.8,0.5,8,1,373,499,74.7,2614,357,1096,8,16,A,Yes,20
135,20-1405,West Ham,1,1,0,0,5,4,3,0,509,193,23,9,21,0.8,0.8,0.4,7,2,281,388,72.4,2679,245,695,10,12,A,Yes,20
136,20-1406,Watford,1,0,0,0,6,3,0,0,486,232,19,4,20,0.7,0.7,0.3,7,0,227,350,64.9,1805,252,651,11,23,A,Yes,20
137,20-1407,Arsenal,2,0,1,1,15,5,1,0,705,137,17,10,10,2.1,1.3,0.5,19,3,489,597,81.9,3182,444,1286,11,20,A,Yes,20
